state,vertex,lat,lon
Alaska,0,70.0187,-141.0205
Alaska,1,70.1292,-141.7291
Alaska,2,70.4515,-144.8163
Alaska,3,70.7471,-148.4583
Alaska,4,70.7923,-151.1609
Alaska,5,71.1470,-152.6221
Alaska,6,71.1185,-153.9954
Alaska,7,71.4307,-154.8853
Alaska,8,71.5232,-156.7529
Alaska,9,71.2796,-157.9449
Alaska,10,71.2249,-159.6313
Alaska,11,70.6363,-161.8671
Alaska,12,70.0843,-163.5809
Alaska,13,69.3028,-165.2399
Alaska,14,69.1782,-166.8768
Alaska,15,68.3344,-168.0414
Alaska,16,67.6844,-165.9155
Alaska,17,67.2933,-164.6082
Alaska,18,66.7789,-164.0149
Alaska,19,66.5810,-165.7507
Alaska,20,66.2867,-167.5745
Alaska,21,66.0269,-168.9862
Alaska,22,65.4970,-168.9478
Alaska,23,65.0420,-167.4756
Alaska,24,64.3922,-167.0142
Alaska,25,64.0554,-165.7343
Alaska,26,64.0193,-163.2294
Alaska,27,63.9615,-162.1143
Alaska,28,63.6877,-163.6029
Alaska,29,63.4530,-165.3717
Alaska,30,62.4133,-166.3715
Alaska,31,61.6534,-166.9867
Alaska,32,60.8556,-166.4429
Alaska,33,60.5357,-167.8381
Alaska,34,59.5482,-167.7118
Alaska,35,59.4115,-165.8002
Alaska,36,59.3696,-164.5972
Alaska,37,59.1168,-162.8558
Alaska,38,58.1185,-162.5427
Alaska,39,58.1359,-160.6421
Alaska,40,58.0285,-159.5050
Alaska,41,57.6336,-158.8953
Alaska,42,56.9090,-159.9060
Alaska,43,56.3926,-160.6531
Alaska,44,56.2342,-161.8835
Alaska,45,55.7240,-162.9822
Alaska,46,55.2478,-164.3994
Alaska,47,54.7753,-165.3168
Alaska,48,54.1463,-167.1075
Alaska,49,53.5632,-168.5852
Alaska,50,53.1402,-169.9146
Alaska,51,52.5964,-169.5959
Alaska,52,52.9089,-168.2227
Alaska,53,54.2139,-162.7734
Alaska,54,54.6786,-159.1452
Alaska,55,55.6567,-155.4634
Alaska,56,57.3510,-152.1400
Alaska,57,59.2209,-150.8203
Alaska,58,59.7695,-147.4461
Alaska,59,60.3521,-145.9850
Alaska,60,59.8917,-144.1544
Alaska,61,59.8172,-141.6811
Alaska,62,59.5225,-140.5124
Alaska,63,59.0292,-138.8548
Alaska,64,57.9032,-136.8526
Alaska,65,56.9157,-136.0725
Alaska,66,56.1555,-134.9794
Alaska,67,55.3237,-134.0057
Alaska,68,54.6341,-133.6418
Alaska,69,54.7135,-130.6261
Alaska,70,55.2869,-129.9930
Alaska,71,55.9869,-130.0108
Alaska,72,56.1057,-130.1083
Alaska,73,56.6086,-131.5887
Alaska,74,57.8404,-132.8755
Alaska,75,58.7276,-133.8423
Alaska,76,59.3108,-134.9121
Alaska,77,59.8020,-135.4724
Alaska,78,59.6039,-136.3445
Alaska,79,59.1619,-136.8251
Alaska,80,59.2441,-137.6079
Alaska,81,60.0902,-139.2119
Alaska,82,60.3575,-139.0938
Alaska,83,60.1866,-140.0056
Alaska,84,60.3059,-140.9999
Alaska,85,70.0187,-141.0205
Alabama,0,35.0041,-88.1955
Alabama,1,34.9918,-85.6068
Alabama,2,32.8404,-85.1756
Alabama,3,32.2593,-84.8927
Alabama,4,32.1535,-85.0342
Alabama,5,31.7947,-85.1358
Alabama,6,31.5200,-85.0438
Alabama,7,31.3384,-85.0836
Alabama,8,31.2093,-85.1070
Alabama,9,31.0023,-84.9944
Alabama,10,30.9953,-87.6009
Alabama,11,30.9423,-87.5926
Alabama,12,30.8539,-87.6256
Alabama,13,30.6745,-87.4072
Alabama,14,30.4404,-87.3688
Alabama,15,30.1463,-87.5240
Alabama,16,30.1546,-88.3864
Alabama,17,31.8939,-88.4743
Alabama,18,34.8938,-88.1021
Alabama,19,34.9479,-88.1721
Alabama,20,34.9107,-88.1461
Arkansas,0,33.0225,-94.0416
Arkansas,1,33.0075,-91.2057
Arkansas,2,33.1180,-91.1989
Arkansas,3,33.1824,-91.1041
Arkansas,4,33.3053,-91.1343
Arkansas,5,33.4211,-91.1646
Arkansas,6,33.4337,-91.2263
Arkansas,7,33.5403,-91.2524
Arkansas,8,33.6112,-91.1797
Arkansas,9,33.6855,-91.2524
Arkansas,10,33.6946,-91.1261
Arkansas,11,33.7883,-91.1412
Arkansas,12,33.7700,-91.0451
Arkansas,13,33.8328,-91.0341
Arkansas,14,33.9399,-91.0863
Arkansas,15,34.0208,-90.9256
Arkansas,16,34.0856,-90.9036
Arkansas,17,34.1345,-90.9586
Arkansas,18,34.1675,-90.9132
Arkansas,19,34.1380,-90.8501
Arkansas,20,34.2311,-90.9325
Arkansas,21,34.3446,-90.6935
Arkansas,22,34.4409,-90.5603
Arkansas,23,34.5348,-90.5548
Arkansas,24,34.5959,-90.5768
Arkansas,25,34.7213,-90.5301
Arkansas,26,34.7574,-90.5328
Arkansas,27,34.8780,-90.4546
Arkansas,28,34.8454,-90.3529
Arkansas,29,34.8690,-90.2911
Arkansas,30,35.0255,-90.3104
Arkansas,31,35.1154,-90.2843
Arkansas,32,35.1323,-90.1772
Arkansas,33,35.1985,-90.1112
Arkansas,34,35.2826,-90.1524
Arkansas,35,35.4383,-90.1332
Arkansas,36,35.5579,-90.0206
Arkansas,37,35.6740,-89.9780
Arkansas,38,35.7287,-89.9547
Arkansas,39,35.9169,-89.6594
Arkansas,40,35.9658,-89.6883
Arkansas,41,36.0013,-89.7130
Arkansas,42,35.9958,-90.3735
Arkansas,43,36.1268,-90.2664
Arkansas,44,36.2875,-90.0934
Arkansas,45,36.3892,-90.0742
Arkansas,46,36.4180,-90.1511
Arkansas,47,36.4997,-90.1566
Arkansas,48,36.4986,-94.6198
Arkansas,49,35.3801,-94.4412
Arkansas,50,33.6318,-94.4893
Arkansas,51,33.6421,-94.4522
Arkansas,52,33.5597,-94.4000
Arkansas,53,33.5883,-94.2462
Arkansas,54,33.5872,-94.1885
Arkansas,55,33.5345,-94.0375
Arkansas,56,33.4314,-94.0430
Arkansas,57,33.0213,-94.0430
Arizona,0,36.9993,-112.5989
Arizona,1,37.0004,-110.8630
Arizona,2,37.0004,-109.0475
Arizona,3,31.3325,-109.0503
Arizona,4,31.3325,-111.0718
Arizona,5,32.4935,-114.8126
Arizona,6,32.5184,-114.8099
Arizona,7,32.5827,-114.8044
Arizona,8,32.6246,-114.7992
Arizona,9,32.6700,-114.7474
Arizona,10,32.7457,-114.7014
Arizona,11,32.7342,-114.6176
Arizona,12,32.7422,-114.5819
Arizona,13,32.7584,-114.5393
Arizona,14,32.8167,-114.5095
Arizona,15,32.8450,-114.4696
Arizona,16,32.9107,-114.4817
Arizona,17,32.9741,-114.4803
Arizona,18,33.0317,-114.5256
Arizona,19,33.0259,-114.6094
Arizona,20,33.0317,-114.6588
Arizona,21,33.0904,-114.7096
Arizona,22,33.2065,-114.6849
Arizona,23,33.2846,-114.7220
Arizona,24,33.3546,-114.6973
Arizona,25,33.4051,-114.7258
Arizona,26,33.4120,-114.6533
Arizona,27,33.5016,-114.5888
Arizona,28,33.5317,-114.5599
Arizona,29,33.6306,-114.5187
Arizona,30,33.6786,-114.5297
Arizona,31,33.7083,-114.4940
Arizona,32,33.7609,-114.5036
Arizona,33,33.8157,-114.5284
Arizona,34,33.8545,-114.5325
Arizona,35,33.9285,-114.5380
Arizona,36,33.9530,-114.5235
Arizona,37,34.0049,-114.4748
Arizona,38,34.0299,-114.4308
Arizona,39,34.0891,-114.4363
Arizona,40,34.1357,-114.3526
Arizona,41,34.1720,-114.2908
Arizona,42,34.2044,-114.2255
Arizona,43,34.2595,-114.1685
Arizona,44,34.2572,-114.1301
Arizona,45,34.3037,-114.1397
Arizona,46,34.3664,-114.2276
Arizona,47,34.4012,-114.2633
Arizona,48,34.4534,-114.3388
Arizona,49,34.4930,-114.3608
Arizona,50,34.5292,-114.3811
Arizona,51,34.5959,-114.4377
Arizona,52,34.6547,-114.4569
Arizona,53,34.7506,-114.5297
Arizona,54,34.8172,-114.5847
Arizona,55,34.8724,-114.6341
Arizona,56,34.9490,-114.6313
Arizona,57,35.0342,-114.6351
Arizona,58,35.1019,-114.6451
Arizona,59,35.1233,-114.6190
Arizona,60,35.1716,-114.5682
Arizona,61,35.3364,-114.5984
Arizona,62,35.4506,-114.6643
Arizona,63,35.5780,-114.6753
Arizona,64,35.6171,-114.6547
Arizona,65,35.6528,-114.6918
Arizona,66,35.7053,-114.7028
Arizona,67,35.8050,-114.7093
Arizona,68,35.8679,-114.6602
Arizona,69,35.9836,-114.7426
Arizona,70,36.0891,-114.7536
Arizona,71,36.1124,-114.6794
Arizona,72,36.1423,-114.6327
Arizona,73,36.1301,-114.4872
Arizona,74,36.1445,-114.3690
Arizona,75,36.0746,-114.3038
Arizona,76,36.0602,-114.3172
Arizona,77,36.0163,-114.2451
Arizona,78,36.0402,-114.1438
Arizona,79,36.0979,-114.1150
Arizona,80,36.1101,-114.1274
Arizona,81,36.1190,-114.1054
Arizona,82,36.1989,-114.0463
Arizona,83,36.3638,-114.0450
Arizona,84,37.0001,-114.0508
California,0,41.9983,-124.4009
California,1,42.0024,-123.6237
California,2,42.0126,-123.1526
California,3,42.0075,-122.0073
California,4,41.9962,-121.2369
California,5,41.9983,-119.9982
California,6,39.0021,-120.0037
California,7,37.5555,-117.9575
California,8,36.3594,-116.3699
California,9,35.0075,-114.6368
California,10,34.9659,-114.6382
California,11,34.9107,-114.6286
California,12,34.8758,-114.6382
California,13,34.8454,-114.5970
California,14,34.7890,-114.5682
California,15,34.7269,-114.4968
California,16,34.6648,-114.4501
California,17,34.6581,-114.4597
California,18,34.5869,-114.4322
California,19,34.5235,-114.3787
California,20,34.4601,-114.3869
California,21,34.4500,-114.3361
California,22,34.4375,-114.3031
California,23,34.4024,-114.2674
California,24,34.3559,-114.1864
California,25,34.3049,-114.1383
California,26,34.2561,-114.1315
California,27,34.2595,-114.1651
California,28,34.2044,-114.2249
California,29,34.1914,-114.2221
California,30,34.1720,-114.2908
California,31,34.1368,-114.3237
California,32,34.1186,-114.3622
California,33,34.1118,-114.4089
California,34,34.0856,-114.4363
California,35,34.0276,-114.4336
California,36,34.0117,-114.4652
California,37,33.9582,-114.5119
California,38,33.9308,-114.5366
California,39,33.9058,-114.5091
California,40,33.8613,-114.5256
California,41,33.8248,-114.5215
California,42,33.7597,-114.5050
California,43,33.7083,-114.4940
California,44,33.6832,-114.5284
California,45,33.6363,-114.5242
California,46,33.5895,-114.5393
California,47,33.5528,-114.5242
California,48,33.5311,-114.5586
California,49,33.5070,-114.5778
California,50,33.4418,-114.6245
California,51,33.4142,-114.6506
California,52,33.4039,-114.7055
California,53,33.3546,-114.6973
California,54,33.3041,-114.7302
California,55,33.2858,-114.7206
California,56,33.2754,-114.6808
California,57,33.2582,-114.6698
California,58,33.2467,-114.6904
California,59,33.1720,-114.6794
California,60,33.0904,-114.7083
California,61,33.0858,-114.6918
California,62,33.0328,-114.6629
California,63,33.0501,-114.6451
California,64,33.0305,-114.6286
California,65,33.0282,-114.5888
California,66,33.0351,-114.5750
California,67,33.0328,-114.5174
California,68,32.9718,-114.4913
California,69,32.9764,-114.4775
California,70,32.9372,-114.4844
California,71,32.8427,-114.4679
California,72,32.8161,-114.5091
California,73,32.7850,-114.5311
California,74,32.7573,-114.5284
California,75,32.7503,-114.5641
California,76,32.7353,-114.6162
California,77,32.7480,-114.6986
California,78,32.7191,-114.7220
California,79,32.6868,-115.1944
California,80,32.5121,-117.3395
California,81,32.7838,-117.4823
California,82,33.0501,-117.5977
California,83,33.2341,-117.6814
California,84,33.4578,-118.0591
California,85,33.5403,-118.6290
California,86,33.7928,-118.7073
California,87,33.9582,-119.3706
California,88,34.1925,-120.0050
California,89,34.2561,-120.7164
California,90,34.5360,-120.9128
California,91,34.9749,-120.8427
California,92,35.2131,-121.1325
California,93,35.5255,-121.3220
California,94,35.9691,-121.8013
California,95,36.2808,-122.1446
California,96,36.7268,-122.1721
California,97,37.2227,-122.6871
California,98,37.7783,-122.8903
California,99,37.8965,-123.2378
California,100,38.3449,-123.3202
California,101,38.7423,-123.8338
California,102,38.9946,-123.9793
California,103,39.3088,-124.0329
California,104,39.7642,-124.0823
California,105,40.1663,-124.5314
California,106,40.4658,-124.6509
